LogisticRegression,OneHotEncoder,None,0.7135521885521886,0.006201824612964212,79.23567295074463
RandomForestClassifier,OneHotEncoder,None,0.803013468013468,0.0011335855804398907,42.45594787597656
GradientBoostingClassifier,OneHotEncoder,None,0.7553367003367003,0.0018384886688331084,262.7882823944092
HistGradientBoostingClassifier,OneHotEncoder,None,0.7911784511784512,0.0008770381331738268,35.61719632148743
MLPClassifier,OneHotEncoder,None,0.7263131313131312,0.01715095794108223,78.39984822273254
LogisticRegression,OneHotEncoder,StandardScaler,0.7275084175084175,0.002791467135525667,17.773252248764038
RandomForestClassifier,OneHotEncoder,StandardScaler,0.8036026936026935,0.0013524712301949554,41.601025104522705
GradientBoostingClassifier,OneHotEncoder,StandardScaler,0.7553198653198653,0.0018313836705013522,264.0474989414215
HistGradientBoostingClassifier,OneHotEncoder,StandardScaler,0.7904882154882154,0.0015774689259424122,34.30968904495239
MLPClassifier,OneHotEncoder,StandardScaler,0.7684006734006734,0.003820695851054996,366.0180974006653
LogisticRegression,OrdinalEncoder,None,0.6176430976430977,0.0027117444619578087,25.1408429145813
RandomForestClassifier,OrdinalEncoder,None,0.7688047138047137,0.0018849205390273833,32.70085883140564
GradientBoostingClassifier,OrdinalEncoder,None,0.7089730639730639,0.0028528275991273016,104.56149315834045
HistGradientBoostingClassifier,OrdinalEncoder,None,0.7481818181818181,0.002494538241345639,19.331656455993652
MLPClassifier,OrdinalEncoder,None,0.6043265993265994,0.046117088107407146,22.94650101661682
LogisticRegression,TargetEncoder,None,0.7465656565656565,0.00478019623539969,38.01396584510803
RandomForestClassifier,TargetEncoder,None,0.8072053872053871,0.00232335431290518,87.91617131233215
GradientBoostingClassifier,TargetEncoder,None,0.7831313131313131,0.002394836619809203,572.7985517978668
HistGradientBoostingClassifier,TargetEncoder,None,0.7990404040404041,0.0029485800281389253,38.35313844680786
MLPClassifier,TargetEncoder,None,0.7438215488215488,0.016270031287029602,55.16781759262085
LogisticRegression,OrdinalEncoder,StandardScaler,0.6234343434343435,0.002384756048523029,1.8873825073242188
RandomForestClassifier,OrdinalEncoder,StandardScaler,0.7694612794612794,0.0026137143023670603,32.72295880317688
GradientBoostingClassifier,OrdinalEncoder,StandardScaler,0.7089393939393939,0.0028061503752208248,104.13292813301086
HistGradientBoostingClassifier,OrdinalEncoder,StandardScaler,0.7473737373737374,0.0017547224539791867,20.4599392414093
MLPClassifier,OrdinalEncoder,StandardScaler,0.6937878787878787,0.005618054731839685,142.64993572235107
LogisticRegression,TargetEncoder,StandardScaler,0.7660774410774411,0.002555375887004763,15.268678903579712
RandomForestClassifier,TargetEncoder,StandardScaler,0.8062457912457912,0.00297289428345375,88.4412612915039
GradientBoostingClassifier,TargetEncoder,StandardScaler,0.7830303030303031,0.0033231999152404353,570.0178101062775
HistGradientBoostingClassifier,TargetEncoder,StandardScaler,0.7999663299663299,0.0028755864609826703,46.20544743537903
MLPClassifier,TargetEncoder,StandardScaler,0.7845286195286195,0.005628890531928635,305.30068922042847
